name,light_years_from_earth,planet_mass,stellar_magnitude,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,solar_system_name,planet_discovery_method,planet_orbital_inclination,host_temperature,host_radius,host_mass,right_ascension,declination
hd 108236 d,211.0,6.98 Earths,9.25,Neptune-like,0.227 x Jupiter,0.1074 AU,14.2 days,0.06,hd 110113 c,HD 110113,Radial Velocity,199.9,5732.0,0.97,1.0,12h40m08.78s,-44d18m43.48s
hd 108236 e,211.0,9.71 Earths,9.25,Neptune-like,0.275 x Jupiter,0.1367 AU,19.6 days,0.06,hd 111232 b,HD 111232,Radial Velocity,,5512.0,0.9,0.84,12h48m51.83s,-68d25m28.80s
hd 108236 f,211.0,4.72 Earths,9.25,Super Earth,2.017 x Earth,0.1758 AU,29.5 days,0.05,hd 111591 b,HD 111591,Radial Velocity,,4884.0,8.03,1.94,12h50m17.41s,+22d51m47.26s
hd 108341 b,160.0,3.5 Jupiters,9.38,Gas Giant,1.17 x Jupiter,2.0 AU,3.1 years,0.85,hd 111998 b,HD 111998,Radial Velocity,,6557.0,1.45,1.18,12h53m10.88s,-03d33m11.21s
hd 108863 b,537.0,2.414 Jupiters,7.71,Gas Giant,1.18 x Jupiter,1.32 AU,437.7 days,0.03,hd 112640 b,HD 112640,Radial Velocity,,4155.0,39.0,1.8,12h56m57.96s,+67d14m34.48s
hd 108874 b,194.0,1.42 Jupiters,8.76,Gas Giant,1.21 x Jupiter,1.04 AU,394.5 days,0.13,hd 113337 b,HD 113337,Radial Velocity,,6576.6,1.5,1.4,13h01m46.52s,+63d36m37.18s
hd 108874 c,194.0,0.99 Jupiters,8.76,Gas Giant,1.23 x Jupiter,2.659 AU,4.4 years,0.24,hd 113538 b,HD 113538,Radial Velocity,,4462.0,0.53,0.58,13h04m56.14s,-52d26m46.86s
hd 109246 b,221.0,0.86 Jupiters,8.751,Gas Giant,1.24 x Jupiter,0.33 AU,68.3 days,0.12,hd 113538 c,HD 113538,Radial Velocity,,4462.0,0.53,0.58,13h04m56.14s,-52d26m46.86s
hd 109271 b,182.0,17.162 Earths,8.04,Neptune-like,0.385 x Jupiter,0.079 AU,7.9 days,0.25,hd 113996 b,HD 113996,Radial Velocity,,4181.0,25.11,1.49,13h07m10.77s,+27d37m27.98s
hd 109271 c,182.0,24.154 Earths,8.04,Neptune-like,0.47 x Jupiter,0.196 AU,30.9 days,0.15,hd 114386 b,HD 114386,Radial Velocity,,4836.0,0.76,0.6,13h10m39.65s,-35d03m22.25s
hd 109286 b,181.0,2.99 Jupiters,8.78,Gas Giant,1.17 x Jupiter,1.259 AU,1.4 years,0.34,hd 114613 b,HD 114613,Radial Velocity,,5641.0,2.14,1.27,13h12m02.68s,-37d48m10.16s
hd 109749 b,206.0,0.27 Jupiters,8.08,Gas Giant,0.993 x Jupiter,0.0615 AU,5.2 days,0.0,hd 114729 b,HD 114729,Radial Velocity,,5844.0,1.47,0.94,13h12m44.02s,-31d52m28.83s
hd 10975 b,380.0,0.45 Jupiters,5.94188,Gas Giant,1.28 x Jupiter,0.95 AU,283.8 days,0.44,hd 114762 b,HD 114762,Radial Velocity,,5869.0,1.2,0.8,13h12m19.11s,+17d31m01.65s
hd 110014 b,329.0,11.09 Jupiters,4.64597,Gas Giant,1.11 x Jupiter,2.14 AU,2.3 years,0.46,hd 114783 b,HD 114783,Radial Velocity,,5135.0,0.84,0.85,13h12m43.64s,-02d15m53.97s
hd 110082 b,343.0,10.3 Earths,9.23,Neptune-like,0.285 x Jupiter,0.113 AU,10.2 days,0.2,hd 114783 c,HD 114783,Radial Velocity,,5126.74,0.84,0.85,13h12m43.64s,-02d15m53.97s
hd 110113 b,347.0,4.55 Earths,10.09,Neptune-like,2.05 x Earth,0.035 AU,2.5 days,0.09,hd 11506 b,HD 11506,Radial Velocity,,6030.0,1.34,1.24,01h52m50.56s,-19d30m26.63s
